name,link,img,shortDescription,version,last_update,count_download,rate,count_viewer,volume,type,category,app_constuctor,price,priceString,homepageUrl,phoneNumber,email,size,pagckage_name
نبرد امپراتوری (استراتژی جنگ),https://cafebazaar.ir/app/com.leme.coe,https://s.cafebazaar.ir/images/icons/com.leme.coe-8a195c16-cfca-46b8-bc6c-c5f3633b740f_128x128.png,برای یه نبرد هیجان انگیز آماده‌ای؟سپاه قدرتمندتو بساز و با یک اتحاد قوی دشمنانت رو شکست بده و امپراتوری خودتو بساز!,۶.۶۳.۰,۲۹ آذر ۱۴۰۳,۱،۰۰۰،۰۰۰+,4.4,۱۹،۷۵۷,۲۱۸ مگابایت,بازی‌های انتخاب بازار,استراتژی,وندیک,0,۰ تومان,,,clashofempire@buzzybuzz.ir,228507381,com.leme.coe
خشم پادشاهان - بازی استراتژی آنلاین,https://cafebazaar.ir/app/com.gekko.rok,https://s.cafebazaar.ir/images/icons/com.gekko.rok-bb16635b-b80a-4c09-b651-f3927005e1a3_128x128.png,سرورم، نیروهای دشمن دارن به سمتمون میان. بدون شما هرگز نمی‌تونیم موفق شیم. اونها دنبال منابع، اطلاعات تاج و تخت شما هستن!,۳.۲.۶,۱۲ آذر ۱۴۰۳,۲۰۰،۰۰۰+,4.4,۳،۰۸۳,۱۰۴ مگابایت,بازی‌های انتخاب بازار,استراتژی,مدریک FZE,0,۰ تومان,,02191001098,Rok@medrickgames.com,109568203,com.gekko.rok
اسپارتاکوس (آنلاین),https://cafebazaar.ir/app/com.tap4fun.callofsparta,https://s.cafebazaar.ir/images/icons/com.tap4fun.callofsparta-f9f7c92f-0246-43dc-b900-ff0adcb48d2d_128x128.png,"یک بازی استراتژیک آنلاین مخصوص کسانی که به بازی‌های جنگی و اکشن علاقه‌مند هستند و ارزش ""افتخار و شکوه"" را می‌دانند.",۵.۳.۵,۱۸ دی ۱۴۰۳,۲۰۰،۰۰۰+,4.5,۹،۹۹۹,۲۷۴ مگابایت,بازی‌های انتخاب بازار,استراتژی,مدریک FZE,0,۰ تومان,,02191001098,Spartacus@medrickgames.com,287062562,com.tap4fun.callofsparta
داستان تاج و تخت - استراتژی آنلاین,https://cafebazaar.ir/app/com.tzgame.kingdomaffairs,https://s.cafebazaar.ir/images/icons/com.tzgame.kingdomaffairs-422c75fe-9525-4ded-a4fc-80bb06d4095c_128x128.png,سرورم! داستان تاج و تخت، یک بازی آنلاین استراتژی و شبیه سازی از زندگی پادشاهی یک سرزمین پهناور است.,۱.۲.۳,۲۷ فروردین ۱۴۰۱,۲۰۰،۰۰۰+,4.5,۶،۵۰۹,۲۹۴ مگابایت,بازی‌های انتخاب بازار,استراتژی,Medrick FZE House,0,۰ تومان,,02191001098,Royal.f@medrickgames.com,308537396,com.tzgame.kingdomaffairs
نبرد شاهزادگان,https://cafebazaar.ir/app/com.elex.coq.cafebazaar,https://s.cafebazaar.ir/images/icons/com.elex.coq.cafebazaar-b04b6200-a874-4957-ad48-f3645fff574a_128x128.png,نبرد شاهزادگان - شبیه‌سازی جنگ واقعی - جدال برای تاج و تخت,۲.۹.۳۶,۲۱ آذر ۱۴۰۳,۲۰۰،۰۰۰+,3.9,۱،۸۷۸,۱۰۹ مگابایت,بازی‌های انتخاب بازار,استراتژی,Vplay Games,0,۰ تومان,,,coq.cb@buzzyland.ir,113852020,com.elex.coq.cafebazaar
نبرد پادشاهان,https://cafebazaar.ir/app/com.hcg.cok.cafebazaar,https://s.cafebazaar.ir/images/icons/com.hcg.cok.cafebazaar_128x128.png,بردپادشاهی واستراتژیک:آنلاین بابازیکنان جهانMMO))جنگ بازیکن برعلیه بازیکن(PVP).,۱۰.۰۸.۰,۱۹ دی ۱۴۰۳,۲۰۰،۰۰۰+,4.2,۳۹،۱۲۷,۳۲۹ مگابایت,بازی‌های انتخاب بازار,استراتژی,Elex Wireless,0,۰ تومان,,,HCGCOK@gmail.com,344957284,com.hcg.cok.cafebazaar
جنگ و جادو (آنلاین),https://cafebazaar.ir/app/com.stirgl.goat,https://s.cafebazaar.ir/images/icons/com.stirgl.goat-69cd2f9c-26b0-4d72-8493-10a4178e99df_128x128.png,"بازی معروف ""جنگ و جادو (War and Magic)"" اکنون با زبان پارسی و تنها در کافه بازار.",۱.۱.۲۰۱.۱۰۶۸۲۴,۱۸ خرداد ۱۴۰۱,۲۰۰،۰۰۰+,4.2,۱،۷۷۱,۱۳۴ مگابایت,بازی‌های انتخاب بازار,استراتژی,BuzzyBuzz Plus,0,۰ تومان,,02191001098,support@warandmagic.ir,140049870,com.stirgl.goat
امپراطوری پادشاه,https://cafebazaar.ir/app/com.tap4fun.kings_empire.cafebazaar,https://s.cafebazaar.ir/images/icons/com.tap4fun.kings_empire.cafebazaar_128x128.png,مهم نیست دنبال بازی دخترانه یا بازی پسرانه جدید هستی! این بازی استراتژی برای همست!,۲.۸.۳,۶ آذر ۱۳۹۹,۵۰،۰۰۰+,4.2,۴،۳۶۵,۷۹ مگابایت,بازی‌های انتخاب بازار,استراتژی,Vplay Games,0,۰ تومان,,,help.kingsempire@buzzyland.ir,83352414,com.tap4fun.kings_empire.cafebazaar
جنگ شوالیه,https://cafebazaar.ir/app/com.almas.shovalie,https://s.cafebazaar.ir/images/icons/com.almas.shovalie-0c701212-cbe8-4034-b09a-3c0717f6db02_128x128.png,شما در نقش یک جنگجو به نبرد تن به تن با دشمنان میپردازید,۵,۲۵ خرداد ۱۴۰۳,۵۰،۰۰۰+,4.1,۸۳,۲۴ مگابایت,بازی‌های انتخاب بازار,اکشن,KidsGames,0,۰ تومان,,,kidsgamedeveloperteam@gmail.com,25677887,com.almas.shovalie
موتور جنگی,https://cafebazaar.ir/app/com.kg.motofight,https://s.cafebazaar.ir/images/icons/com.kg.motofight-9c6b2950-4595-41c0-abcf-72cf255369e9_128x128.png,در این بازی اندروید شما باید سوار بر موتور سیکلت خود شوید و در مسابقات خیابانی شرکت کنید.,۴,۱۴ آبان ۱۴۰۲,۵۰،۰۰۰+,4.3,۱۳۲,۳۰ مگابایت,بازی‌های انتخاب بازار,اکشن,KidsGames,0,۰ تومان,,,kidsgamedeveloperteam@gmail.com,31765512,com.kg.motofight
