name,link,img,subtitle,version,last_update,count_download,rate,count_viewer,volume,type,category
الفبای مهربانی ؛ آموزش الفبا فارسی,https://myket.ir/dl?packageName=ir.amehrabani,https://myket.ir/app-icon/d75b3c52-e0cf-44c2-9988-7e2e24e27d0a.png,,۲.۸.۳۶,۱۴۰۳/۰۳/۲۹,۹ هزار,۴.۴,۱۸,۴۱ مگابایت,برنامه اندرویدی,آموزشی
آی‌قصه : داستان و کتاب صوتی کودک,https://myket.ir/dl?packageName=com.ighe3.app,https://myket.ir/app-icon/com.ighe3.app_2b83da58-3ea2-4917-a5e5-5d3832dbebc7.png,,۲.۵.۳-myket,۱۴۰۱/۱۲/۲۳,۱۷ هزار,۳.۴,۴۹,۱۷ مگابایت,برنامه اندرویدی,سرگرمی
ماهک ؛ قصه و کتاب داستان کودک,https://myket.ir/dl?packageName=com.dabestaniha.mahak,https://myket.ir/app-icon/com.dabestaniha.mahak_2718b4fb-b8c8-4fef-a583-b1598cb8ccbe.png,جذاب، آموزنده و رایگان,۲.۸.۳۶,۱۴۰۳/۰۸/۱۳,۲۰۰ هزار,۴.۲,۴۵۵,۳۴ مگابایت,برنامه اندرویدی,سرگرمی
گنبد کبود - سرگرمی با قصه و لالایی,https://myket.ir/dl?packageName=com.itbarbod.gkabod,https://myket.ir/app-icon/com.itbarbod.gkabod_bdfd2d11-ab40-4f0b-a65b-8565aec23a5d.png,,۱.۲.۰,۱۴۰۱/۰۸/۱۰,۱۶ هزار,۳.۸,۳۲,۲۷ مگابایت,برنامه اندرویدی,سرگرمی
شنل قرمزی - قصه کارتون بازی کودکانه,https://myket.ir/dl?packageName=ir.zigool.shenelghermezi,https://myket.ir/app-icon/b3566baf-91c7-4cf5-b728-a179f67e03cd.png,,۱.۳۵,۱۴۰۳/۰۷/۲۸,۵ هزار,۴.۶,۸,۴۴ مگابایت,بازی اندرویدی,کودک
آهنگ های کودکانه,https://myket.ir/dl?packageName=me.syncrex.kids.songs,https://myket.ir/app-icon/f3af7ce0-0b8d-4b0c-91e3-d755955df6b2.png,آهنگ های شاد و آموزشی کودک,۱.۱۲,۱۴۰۳/۰۳/۰۵,۴ هزار,۴.۳,۲۱,۱۴ مگابایت,برنامه اندرویدی,سرگرمی
مدرسه خلاقیت وانای,https://myket.ir/dl?packageName=vanay.app.ir,https://myket.ir/app-icon/vanay.app.ir_b38dcd91-9ad8-462e-adfe-555da5c3eb5e.png,خلاقانه ریاضی رو قورت بده,۰.۱.۷,۱۴۰۲/۰۲/۳۱,۲ هزار,۴.۹,۳۹,۱۰ مگابایت,برنامه اندرویدی,آموزشی
قصه چی,https://myket.ir/dl?packageName=com.Heewa.Larastory,https://myket.ir/app-icon/com.Heewa.Larastory_ef2899de-d225-4802-9a56-408eca38e047.png,,۱.۰۳,۱۴۰۱/۰۷/۱۱,۲۴ هزار,۴.۵,۳۰,۸۰ مگابایت,بازی اندرویدی,کودک
ترانه های کودکانه(قوقولی),https://myket.ir/dl?packageName=isoft.songskids,https://myket.ir/app-icon/isoft.songskids_8cc8dec6-3f6c-44ea-92ec-02e72d64766f.png,,۱.۳,۱۳۹۹/۱۱/۲۳,۲۰۰ هزار,۴.۵,۲۳۱,۳۱ مگابایت,بازی اندرویدی,تفننی
گهواره: بارداری و کودک,https://myket.ir/dl?packageName=pr.gahvare.gahvare,https://myket.ir/app-icon/ee7fa1db-915b-4279-86dc-f7677ae8af69.png,,۵.۶۰۵.۱,۱۴۰۳/۰۸/۰۱,۵۰۰ هزار,۴.۳,"۱,۵۳۴",۱۹ مگابایت,برنامه اندرویدی,پزشکی و سلامت
